id;companyid;containerid;createdat;customer;displayid;engineid;enginename;enginetype;extrainfo;integrated;integrationid;istest;ordertiming;ordertype;saleschannel;scheduledat;status;preparationtime;takeouttimeinseconds;totalamount;updatedat;version
51;CD0Y4Q9YG0;QLWE10W7;2024-09-04 07:04:00;145;TUA9GY;DBXE1B;IfoodBridge;WEB;Não informado;False;8436;False;IMMEDIATE;DELIVERY;DELIVERYVIP;2024-09-04 07:04:00;CONFIRMED;62;1398;20.67;2024-09-04 16:29:00;v2.1.2
1098;OQ0MS3CTDG;7V3HKMYE;2024-09-04 10:00:00;109;8LSD01;7TXRK3;DirectOrder;WEB;Nisi nesciunt rem unde voluptatibus corrupti eligendi.;True;2795;False;IMMEDIATE;DELIVERY;IFOOD;2024-09-04 10:00:00;PLACED;8;3042;77.97;2024-09-05 02:37:00;v1.5.6
608;XPJNC06N6M;PYWJ3I7E;2024-09-04 17:19:00;62;4TI3I5;AQG53S;DirectOrder;APP;Não informado;True;4737;False;SCHEDULED;TAKEOUT;IFOOD;2024-09-05 16:19:00;DISPATCHED;87;2553;29.86;2024-09-04 17:59:00;v1.3.9
783;GSUED6V5Z3;AT8D3GFS;2024-09-04 20:56:00;401;BJD6WR;BODDFN;DirectOrder;POS;Voluptas praesentium facilis dicta vitae.;False;2854;False;IMMEDIATE;INDOOR;SITE;2024-09-04 20:56:00;PENDING;6;2131;86.85;2024-09-05 03:09:00;v2.8.1
118;URD86DUDUY;MTGRHT8Q;2024-09-05 00:20:00;634;VPC5BJ;6SC3LF;DirectOrder;WEB;Saepe eveniet nostrum soluta numquam tenetur.;False;3783;False;IMMEDIATE;DELIVERY;WHATSAPP;2024-09-05 00:20:00;PENDING;81;2534;38.67;2024-09-05 04:17:00;v1.7.0
1696;JQUR4EBZ35;LIYUM443;2024-09-05 11:05:00;363;TGJ4D6;DR2FJF;CannoliEngine;WEB;Não informado;True;7054;False;SCHEDULED;INDOOR;IFOOD;2024-09-06 14:05:00;PLACED;33;2060;59.02;2024-09-06 00:52:00;v2.6.2
1129;KO5KB887KA;J69J364R;2024-09-05 13:49:00;138;1RRFSP;K7SCKU;DirectOrder;POS;Não informado;True;5423;True;IMMEDIATE;INDOOR;EPADOCA;2024-09-05 13:49:00;DISPATCHED;9;1026;52.53;2024-09-05 15:45:00;v3.3.9
1069;EGDWAXPCD6;I2UUOV0N;2024-09-05 19:33:00;637;OVGUXG;PMM7HX;KDSPro;APP;Não informado;False;9318;False;IMMEDIATE;INDOOR;WHATSAPP;2024-09-05 19:33:00;CANCELED;35;1285;111.08;2024-09-06 14:56:00;v2.8.9
1942;Q7C8BQ1FJU;GTM4KV4V;2024-09-05 19:37:00;378;V0ASM9;4170RZ;IfoodBridge;POS;Aliquid quia adipisci sed tempora.;False;9036;False;IMMEDIATE;INDOOR;IFOOD;2024-09-05 19:37:00;CONCLUDED;76;3475;13.31;2024-09-05 22:36:00;v1.0.2
251;PB710MYV9L;Y3NFXF4U;2024-09-05 20:02:00;74;S3SR8X;T2K1S7;CannoliEngine;POS;Culpa nam in vel deserunt omnis.;False;2318;False;IMMEDIATE;DELIVERY;EPADOCA;2024-09-05 20:02:00;CONFIRMED;77;1614;38.9;2024-09-06 11:07:00;v1.5.9
908;EYLGVFIU0I;F409480G;2024-09-05 23:07:00;69;P5TV2X;SZH6UE;DirectOrder;WEB;Não informado;True;2687;False;IMMEDIATE;DELIVERY;SITE;2024-09-05 23:07:00;PLACED;26;2796;75.31;2024-09-06 04:54:00;v1.2.4
1137;653YFC7LVI;3EYGZ8S0;2024-09-06 15:54:00;118;LJ3Z5O;M1RQ88;CannoliEngine;WEB;Não informado;True;9837;False;IMMEDIATE;DELIVERY;WHATSAPP;2024-09-06 15:54:00;CONFIRMED;25;174;26.0;2024-09-06 19:06:00;v2.1.2
683;2C4X8VOE9T;PI9ITJ1F;2024-09-06 18:26:00;703;MS898C;E4WCO1;KDSPro;POS;Não informado;False;6944;False;SCHEDULED;DELIVERY;ANOTAAI;2024-09-07 08:26:00;CONFIRMED;67;1866;123.59;2024-09-07 06:54:00;v1.3.4
1744;YIUQSNQRF8;DXNQ6KPS;2024-09-07 12:24:00;755;OD150A;880IB3;CannoliEngine;WEB;Asperiores earum dignissimos adipisci.;False;2933;False;IMMEDIATE;DELIVERY;WHATSAPP;2024-09-07 12:24:00;PLACED;16;2729;44.66;2024-09-08 07:02:00;v2.4.8
1487;L7S591Y47U;C3T4X2DW;2024-09-07 14:43:00;389;WCTC1S;RNK3MX;CannoliEngine;POS;Dolor ipsa fuga veritatis praesentium.;True;5727;False;SCHEDULED;INDOOR;EPADOCA;2024-09-09 20:43:00;PLACED;25;737;34.27;2024-09-08 05:57:00;v3.0.8
592;TFBGNPQ4LE;5HW7W0K2;2024-09-07 16:48:00;830;6BPLQ9;SDLNIT;DirectOrder;APP;Reprehenderit impedit facere minima aliquid dolorem autem.;True;6940;False;SCHEDULED;TAKEOUT;WHATSAPP;2024-09-09 22:48:00;PENDING;44;606;16.25;2024-09-07 20:05:00;v2.8.0
1464;XRVAUXAD24;ENIRSGAD;2024-09-07 19:52:00;323;AV8LUG;501SDK;IfoodBridge;APP;Sunt ratione quod quo.;True;4289;False;IMMEDIATE;INDOOR;DELIVERYVIP;2024-09-07 19:52:00;PLACED;85;2405;39.18;2024-09-08 12:27:00;v3.4.4
1504;3Y9S0WJMHM;ASKOZVRH;2024-09-07 20:43:00;382;YPBO7Q;YI3FFC;KDSPro;APP;Não informado;True;4376;False;IMMEDIATE;INDOOR;SITE;2024-09-07 20:43:00;CONFIRMED;48;3518;87.04;2024-09-08 00:07:00;v3.1.2
1052;0LDJGPJJ6U;FWO70WBU;2024-09-08 02:29:00;254;Q0UIVP;XE3F0S;CannoliEngine;APP;Não informado;True;2566;False;IMMEDIATE;TAKEOUT;WHATSAPP;2024-09-08 02:29:00;CANCELED;56;991;83.97;2024-09-08 12:44:00;v1.4.2
1503;RRBOR2DQR9;FM6DBU57;2024-09-08 03:33:00;505;NPNJ21;IDNMQP;DirectOrder;POS;Earum quos facilis facere.;True;2621;False;SCHEDULED;DELIVERY;IFOOD;2024-09-08 12:33:00;PENDING;80;1814;53.3;2024-09-08 08:11:00;v1.0.6
724;WBG12DMWTD;JYK7J16O;2024-09-08 06:58:00;454;TUFSBC;LJW4RB;KDSPro;WEB;Aliquid officiis veniam molestias occaecati beatae libero iste.;True;9089;False;SCHEDULED;TAKEOUT;EPADOCA;2024-09-10 05:58:00;CONFIRMED;69;313;102.37;2024-09-08 14:15:00;v2.4.1
1602;0IRL4YZ1IV;9H5WY1ZP;2024-09-08 16:31:00;793;L7PSYQ;2VQTNH;KDSPro;POS;Não informado;False;1404;False;IMMEDIATE;DELIVERY;99FOOD;2024-09-08 16:31:00;PENDING;18;2389;123.0;2024-09-08 23:28:00;v3.5.6
1240;J5V107BJT6;7YVD5HRG;2024-09-09 00:13:00;297;0D74GU;CD10TN;CannoliEngine;WEB;Não informado;False;6057;False;IMMEDIATE;TAKEOUT;SITE;2024-09-09 00:13:00;CONFIRMED;14;1829;65.72;2024-09-09 04:27:00;v3.0.4
3;W2ZZS7CCZW;I87JLGTV;2024-09-09 05:49:00;491;XJJDH2;UDX1ZF;KDSPro;POS;Não informado;False;8501;False;IMMEDIATE;INDOOR;EPADOCA;2024-09-09 05:49:00;CONCLUDED;22;247;45.97;2024-09-09 09:32:00;v1.9.5
297;7ZFV0Z86HE;VWW5K422;2024-09-09 09:30:00;233;DKNOU6;TJ2PKK;IfoodBridge;WEB;Não informado;True;1369;False;IMMEDIATE;TAKEOUT;ANOTAAI;2024-09-09 09:30:00;CONCLUDED;40;495;13.65;2024-09-09 19:38:00;v2.5.7
421;FLPBWTDG67;RS77X7CF;2024-09-09 12:19:00;228;DJH1Y3;ME3CB2;KDSPro;APP;Não informado;False;3924;False;IMMEDIATE;DELIVERY;WHATSAPP;2024-09-09 12:19:00;CONFIRMED;11;201;53.03;2024-09-09 19:59:00;v3.9.1
1589;743A7KEJFS;JU0LQ1EV;2024-09-09 13:36:00;255;U2EI1M;2MS0XB;KDSPro;WEB;Não informado;True;3627;False;IMMEDIATE;DELIVERY;99FOOD;2024-09-09 13:36:00;PLACED;36;3462;44.33;2024-09-09 14:24:00;v2.2.2
451;645GSL4WNA;24RUBHVN;2024-09-09 15:58:00;861;JTPQ0J;8FWYB5;DirectOrder;APP;Não informado;False;2028;False;SCHEDULED;INDOOR;99FOOD;2024-09-10 03:58:00;PENDING;21;1703;75.18;2024-09-09 20:34:00;v2.4.7
698;YMRCLT8CWD;1D1LE9YC;2024-09-09 16:26:00;942;CPNP8P;FZRSCM;KDSPro;WEB;Não informado;True;6515;False;SCHEDULED;INDOOR;WHATSAPP;2024-09-09 18:26:00;PENDING;55;2403;132.62;2024-09-10 06:17:00;v3.5.5
316;VMXDQ5UYZN;I6BJU68O;2024-09-10 15:35:00;76;SMJJX2;3LFLOH;DirectOrder;POS;Não informado;True;5068;False;SCHEDULED;DELIVERY;IFOOD;2024-09-13 02:35:00;PENDING;33;3044;40.45;2024-09-10 18:40:00;v1.4.7
775;GFW8E5MFJ3;KEZ8UE5L;2024-09-11 06:40:00;241;9PVSBL;VQREHA;DirectOrder;POS;Não informado;True;5763;False;SCHEDULED;TAKEOUT;WHATSAPP;2024-09-12 04:40:00;CONCLUDED;63;214;39.26;2024-09-11 12:53:00;v1.7.8
1333;7DMDZ6XECT;S8HSE096;2024-09-11 09:48:00;349;R9CS6T;JFDNH0;CannoliEngine;WEB;Porro quaerat voluptatum.;True;5861;False;IMMEDIATE;INDOOR;99FOOD;2024-09-11 09:48:00;DISPATCHED;38;2635;151.73;2024-09-12 03:06:00;v3.2.3
763;MKSJ4LNY4E;IYPPFPQ8;2024-09-11 17:30:00;607;ASZLPO;23C55K;KDSPro;APP;Não informado;False;7445;False;SCHEDULED;INDOOR;99FOOD;2024-09-14 08:30:00;DISPATCHED;41;939;54.46;2024-09-11 20:12:00;v3.8.9
1376;JVNZR8NNZB;IOTYWXDZ;2024-09-11 18:00:00;595;4MT6E1;5XCQRM;DirectOrder;APP;Não informado;True;1315;False;SCHEDULED;TAKEOUT;99FOOD;2024-09-13 00:00:00;CONCLUDED;81;2043;98.86;2024-09-11 22:20:00;v1.5.8
235;HA8OQIGMTQ;0HIZO25M;2024-09-11 18:52:00;495;P2KHI0;06IAJ8;KDSPro;APP;Não informado;True;8909;False;SCHEDULED;INDOOR;SITE;2024-09-13 10:52:00;PENDING;36;2231;31.97;2024-09-12 12:49:00;v1.9.5
605;7BRT8ID9SQ;MJN6O6XY;2024-09-12 05:37:00;1;8DSS13;VJUXE0;CannoliEngine;WEB;Não informado;False;3247;False;IMMEDIATE;DELIVERY;SITE;2024-09-12 05:37:00;CANCELED;51;2421;58.74;2024-09-12 18:38:00;v2.6.3
603;EXWITMFZ22;92A5GWMI;2024-09-12 07:13:00;34;5WYVIU;8XLCK8;DirectOrder;WEB;Não informado;True;9556;False;IMMEDIATE;DELIVERY;99FOOD;2024-09-12 07:13:00;CONFIRMED;46;1844;41.53;2024-09-12 10:37:00;v1.3.9
1816;5SKR8DIBVA;ZXGEDO0Z;2024-09-12 14:51:00;317;KY5UN7;UDCVD8;CannoliEngine;APP;Não informado;True;7398;False;IMMEDIATE;TAKEOUT;WHATSAPP;2024-09-12 14:51:00;CONCLUDED;32;3271;68.02;2024-09-13 02:21:00;v3.7.6
1341;RW6MUOPXSD;D8K0YLL5;2024-09-12 23:27:00;846;M5MC92;1A3HZL;KDSPro;APP;Ratione repudiandae veritatis ut animi repellat.;True;6441;False;IMMEDIATE;TAKEOUT;EPADOCA;2024-09-12 23:27:00;DISPATCHED;46;1001;30.15;2024-09-13 03:56:00;v1.6.2
1860;07SLR1UUPW;LO1YUGYI;2024-09-13 10:46:00;222;YQYHO5;132SNM;KDSPro;POS;Não informado;False;3426;False;IMMEDIATE;TAKEOUT;IFOOD;2024-09-13 10:46:00;CANCELED;48;1271;34.9;2024-09-14 01:00:00;v3.6.7
1558;CTNU007I14;HBHTPAK0;2024-09-13 16:00:00;677;W7RHYW;X09JVA;CannoliEngine;APP;Voluptatem molestias deserunt nisi.;False;3754;False;IMMEDIATE;INDOOR;IFOOD;2024-09-13 16:00:00;PENDING;52;254;20.85;2024-09-14 02:23:00;v2.7.4
582;GMYSEZVZ1X;NJ01V1PJ;2024-09-13 17:21:00;400;ZL7A0Y;ZC7720;CannoliEngine;WEB;Magni quidem asperiores ab adipisci.;False;9338;False;SCHEDULED;TAKEOUT;99FOOD;2024-09-16 12:21:00;PLACED;28;1204;107.52;2024-09-14 00:16:00;v2.5.7
712;HU8FBPSCMQ;CNEQCEPT;2024-09-13 17:54:00;567;Q9XUNA;IHS87A;DirectOrder;POS;Não informado;True;4248;False;SCHEDULED;TAKEOUT;EPADOCA;2024-09-14 02:54:00;CONCLUDED;66;2142;47.75;2024-09-14 04:25:00;v3.9.9
1293;1A709AJV3T;FBAX074M;2024-09-13 18:00:00;341;IOU60K;IF32BC;DirectOrder;WEB;Esse ab dignissimos eum.;True;4433;False;SCHEDULED;INDOOR;EPADOCA;2024-09-14 15:00:00;CONFIRMED;43;1964;40.74;2024-09-14 00:37:00;v1.4.0
145;5VWXT4PSYY;W0GAJKFV;2024-09-13 18:09:00;358;54TH3E;YCI6T3;CannoliEngine;WEB;Id eveniet atque placeat porro velit.;True;1224;False;SCHEDULED;INDOOR;IFOOD;2024-09-14 19:09:00;PENDING;36;2066;17.87;2024-09-14 06:10:00;v2.5.8
1719;JQWLBX7X99;D5GYH5IL;2024-09-13 19:13:00;657;JB7686;M4R75V;DirectOrder;APP;Não informado;True;1634;False;SCHEDULED;DELIVERY;EPADOCA;2024-09-15 13:13:00;CONFIRMED;41;3063;36.92;2024-09-14 06:20:00;v2.5.1
1072;7KTERFRQ0D;DL45OODY;2024-09-13 22:51:00;878;IPVCHU;8Z0IC0;DirectOrder;APP;Voluptates iste rem quibusdam.;False;2813;False;SCHEDULED;DELIVERY;99FOOD;2024-09-14 19:51:00;PENDING;54;2861;34.53;2024-09-14 11:27:00;v1.9.3
1041;0IGQ5Y2X7K;2I11SDKS;2024-09-14 01:38:00;93;74LF4Y;AJSQ5M;DirectOrder;WEB;Laboriosam harum error veritatis inventore ullam iure.;True;9444;False;IMMEDIATE;INDOOR;WHATSAPP;2024-09-14 01:38:00;DISPATCHED;60;3367;40.04;2024-09-14 02:13:00;v3.9.6
31;WJTVTOKD7G;D0NWEVHV;2024-09-14 09:57:00;822;QE5KN0;W0BRNB;DirectOrder;WEB;Officia eum excepturi laborum praesentium minus voluptatibus.;True;7008;False;IMMEDIATE;INDOOR;99FOOD;2024-09-14 09:57:00;PENDING;80;3124;21.58;2024-09-14 18:22:00;v1.4.3
749;2OT1EJEZLG;IS5FBLKA;2024-09-14 14:02:00;307;RK761J;FA3LVF;DirectOrder;WEB;Não informado;True;1250;False;IMMEDIATE;TAKEOUT;99FOOD;2024-09-14 14:02:00;CANCELED;24;1636;29.38;2024-09-14 23:16:00;v3.6.1
447;QF5LNJIHE3;DHSUDFLP;2024-09-14 19:04:00;754;SGY7I9;57MPH9;IfoodBridge;WEB;Não informado;True;3150;False;IMMEDIATE;DELIVERY;SITE;2024-09-14 19:04:00;CONFIRMED;21;650;55.24;2024-09-15 02:03:00;v2.4.1
1450;C3MW8BEAV0;G9B3GP3Q;2024-09-14 22:14:00;981;UEMETI;9HDGBE;KDSPro;WEB;Não informado;True;2679;False;SCHEDULED;DELIVERY;WHATSAPP;2024-09-17 15:14:00;CANCELED;61;1597;67.81;2024-09-15 01:48:00;v3.3.8
1206;4HYKKF1D0D;5BVAANWP;2024-09-15 06:16:00;115;2XUYYX;1EV61S;IfoodBridge;POS;Modi nam unde libero.;False;9674;False;SCHEDULED;DELIVERY;SITE;2024-09-16 06:16:00;DISPATCHED;42;1781;23.94;2024-09-15 22:26:00;v1.2.2
845;XB5HQ6CY9N;LZPYZA54;2024-09-15 13:29:00;486;JVR7JL;BWMUMM;KDSPro;APP;Cupiditate maiores commodi esse ipsa.;True;3228;False;IMMEDIATE;DELIVERY;EPADOCA;2024-09-15 13:29:00;PENDING;63;2395;62.93;2024-09-16 02:21:00;v1.4.0
1965;XTIAL3C1KR;TMY7F6UT;2024-09-15 15:07:00;645;CD6CXD;96WOJP;CannoliEngine;APP;Não informado;True;7922;False;SCHEDULED;DELIVERY;SITE;2024-09-15 16:07:00;CANCELED;76;770;110.13;2024-09-15 19:14:00;v1.4.5
1795;S60QEYASR3;OCVETE06;2024-09-15 18:20:00;241;28D3B9;20MQAD;DirectOrder;POS;Não informado;True;3570;False;IMMEDIATE;TAKEOUT;ANOTAAI;2024-09-15 18:20:00;PLACED;75;2537;55.99;2024-09-16 11:05:00;v3.8.7
1483;OMIOZ5DX9P;PK10QXN3;2024-09-16 01:18:00;642;NZ5GPY;J5EEE4;CannoliEngine;POS;Não informado;True;3898;False;IMMEDIATE;INDOOR;SITE;2024-09-16 01:18:00;CANCELED;14;2044;50.36;2024-09-16 16:55:00;v2.0.9
1661;OBIPYBR83F;5L5POF1L;2024-09-16 05:17:00;649;44P0Z4;O2NW31;CannoliEngine;POS;Não informado;True;2723;False;SCHEDULED;TAKEOUT;DELIVERYVIP;2024-09-18 11:17:00;DISPATCHED;36;3306;53.82;2024-09-16 23:22:00;v3.7.9
686;6GQ17CPM93;UPP1JHJT;2024-09-16 06:49:00;135;54DQ6V;ASWR8A;IfoodBridge;APP;Não informado;False;2765;False;IMMEDIATE;TAKEOUT;DELIVERYVIP;2024-09-16 06:49:00;PLACED;76;514;17.31;2024-09-17 00:28:00;v2.0.2
1105;D4QUE2BCZC;F648HPF0;2024-09-16 13:27:00;288;8B7TIN;EWKZUM;CannoliEngine;APP;Voluptate enim iure dolorem sint nemo animi voluptas.;True;5503;False;SCHEDULED;DELIVERY;EPADOCA;2024-09-17 20:27:00;PENDING;54;1360;36.42;2024-09-17 02:36:00;v3.7.1
999;HGNHICH3I9;ORHRC7OI;2024-09-16 19:54:00;649;T17JB1;GSWRGI;CannoliEngine;APP;Não informado;True;1793;False;IMMEDIATE;INDOOR;ANOTAAI;2024-09-16 19:54:00;CONCLUDED;43;3085;14.94;2024-09-17 06:50:00;v1.6.1
214;09V82CP0YQ;18G75E06;2024-09-17 06:01:00;990;QWFT52;MFX1LE;DirectOrder;WEB;Não informado;True;5021;False;SCHEDULED;INDOOR;EPADOCA;2024-09-18 14:01:00;PENDING;15;2009;39.86;2024-09-18 00:24:00;v3.0.1
332;2P0ZID5A47;Q0M6Y7E4;2024-09-17 06:13:00;606;C5PBU6;P3TL0T;CannoliEngine;POS;Não informado;False;7023;False;IMMEDIATE;DELIVERY;WHATSAPP;2024-09-17 06:13:00;CONCLUDED;51;1977;117.45;2024-09-18 00:52:00;v3.4.0
1747;TGTNCGEUWP;5RWC24GB;2024-09-17 14:23:00;802;0MUUGE;7XOTFU;KDSPro;WEB;Não informado;True;8721;False;SCHEDULED;INDOOR;99FOOD;2024-09-19 12:23:00;CONFIRMED;54;1838;137.95;2024-09-17 18:07:00;v3.8.1
1854;IE19494DW3;E7MTDUSL;2024-09-17 18:27:00;266;4U56M8;AMN4RA;KDSPro;WEB;Não informado;False;1834;False;SCHEDULED;DELIVERY;SITE;2024-09-20 09:27:00;CANCELED;51;605;121.66;2024-09-18 04:05:00;v3.3.3
1667;86UGX0ML6F;15USIMMT;2024-09-18 02:11:00;209;H2PN0K;CH23UG;CannoliEngine;WEB;Voluptatibus nesciunt praesentium et.;True;4355;True;SCHEDULED;TAKEOUT;IFOOD;2024-09-18 13:11:00;PLACED;25;97;181.53;2024-09-18 08:01:00;v2.4.9
495;3S5QJ8NKYT;IO0YE90L;2024-09-18 04:47:00;214;P4YK89;C2SYOW;KDSPro;POS;Necessitatibus ex quibusdam ea velit dolores error corporis.;True;4808;False;SCHEDULED;DELIVERY;DELIVERYVIP;2024-09-18 21:47:00;PENDING;40;729;59.68;2024-09-18 22:23:00;v3.6.7
197;BYJB3G7LMN;P3ZDH4MQ;2024-09-18 08:27:00;77;WE12IU;GVF2GJ;CannoliEngine;APP;Distinctio aliquid quisquam corrupti.;False;7704;False;SCHEDULED;TAKEOUT;SITE;2024-09-18 14:27:00;CANCELED;60;1521;16.64;2024-09-18 12:31:00;v2.7.6
1901;6TNUKEINL1;MBR9YVY0;2024-09-18 09:59:00;295;D6Y1VC;D7G4W8;KDSPro;APP;Não informado;True;9107;False;IMMEDIATE;DELIVERY;SITE;2024-09-18 09:59:00;CONCLUDED;13;129;27.9;2024-09-18 23:24:00;v3.5.9
1691;CJZONCMZV3;T9APZRI8;2024-09-18 12:50:00;311;G1YFYC;8NA0PG;IfoodBridge;APP;Não informado;True;4579;False;SCHEDULED;DELIVERY;EPADOCA;2024-09-21 11:50:00;PENDING;54;780;34.13;2024-09-18 14:12:00;v3.7.8
1102;FOBPD0JTJK;0SIHZ2F7;2024-09-18 17:37:00;501;3HHP8Q;NLJJNA;IfoodBridge;POS;Não informado;False;6801;False;IMMEDIATE;INDOOR;WHATSAPP;2024-09-18 17:37:00;CONFIRMED;15;584;97.85;2024-09-18 21:08:00;v1.2.4
759;C72K2VVOOF;IIHEFOG5;2024-09-18 18:57:00;27;WJ60LZ;NPYEVQ;IfoodBridge;WEB;Placeat labore cumque explicabo iure nulla.;True;2127;False;IMMEDIATE;INDOOR;IFOOD;2024-09-18 18:57:00;CANCELED;58;2469;100.99;2024-09-19 04:11:00;v1.4.9
28;NFC3Y0SPWQ;IGBU990M;2024-09-19 01:43:00;416;Z9HGNA;0B6NWY;KDSPro;WEB;Não informado;False;9517;False;IMMEDIATE;INDOOR;99FOOD;2024-09-19 01:43:00;CANCELED;49;578;30.37;2024-09-19 07:24:00;v1.6.4
352;1XFA2G0E7H;4NEI1WX9;2024-09-19 04:09:00;470;WLW468;WZNJNS;DirectOrder;POS;Repellat dolorum cumque placeat illo numquam ducimus repellat.;False;4816;False;SCHEDULED;INDOOR;DELIVERYVIP;2024-09-20 05:09:00;PENDING;77;2790;95.49;2024-09-19 19:47:00;v3.8.8
643;SMHKD7TSD3;QCTPVNBN;2024-09-19 04:59:00;615;AFN02K;BQ44C9;KDSPro;APP;Amet perferendis consequatur odio quidem quo assumenda.;True;5013;False;IMMEDIATE;INDOOR;WHATSAPP;2024-09-19 04:59:00;PENDING;29;1872;39.11;2024-09-19 22:42:00;v1.8.3
800;4W0MMKI7TF;PKL272U8;2024-09-19 08:48:00;492;F7LDKN;J453RM;KDSPro;WEB;Não informado;False;4549;False;IMMEDIATE;TAKEOUT;WHATSAPP;2024-09-19 08:48:00;CONCLUDED;24;442;61.42;2024-09-19 21:55:00;v2.7.0
1454;AEXHU7LKC3;DQ0E7E2A;2024-09-19 11:07:00;838;WBBZC0;QIAPC7;IfoodBridge;APP;Ipsam tempore vero dolorem maiores non.;True;4875;False;IMMEDIATE;TAKEOUT;EPADOCA;2024-09-19 11:07:00;CONCLUDED;68;1208;24.93;2024-09-19 19:36:00;v2.9.5
1822;3ABUGOQ5R4;FV1N25ME;2024-09-20 00:34:00;828;T0I9V9;4WURN6;DirectOrder;WEB;Officia provident beatae modi alias molestias.;False;4220;False;SCHEDULED;TAKEOUT;IFOOD;2024-09-21 21:34:00;DISPATCHED;23;906;28.04;2024-09-20 01:20:00;v3.4.6
1575;S4ES9Y4BYM;0X4EOYSS;2024-09-20 07:28:00;892;96TAMN;ON1IWZ;IfoodBridge;POS;Consectetur qui dicta perferendis.;True;4201;False;IMMEDIATE;TAKEOUT;99FOOD;2024-09-20 07:28:00;CONCLUDED;55;1673;32.49;2024-09-20 16:54:00;v3.6.4
1295;WOF6SDQMLA;WS9JJ21I;2024-09-20 09:37:00;751;3U7VXN;LKG0TY;CannoliEngine;APP;Não informado;True;9020;False;IMMEDIATE;INDOOR;ANOTAAI;2024-09-20 09:37:00;CANCELED;44;726;48.62;2024-09-20 22:58:00;v2.6.8
