id;segmentid;templateid;storeid;name;description;badge;type;status;isdefault;createdat;createdby;updatedat;updatedby
51;42;1970-01-01 00:00:00.000000051;YZXFUJ7XN1;Campanha Inventore YPQP;Voluptate magni aperiam ab ipsa dicta debitis sit quibusdam alias accusantium.;consumption;2;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2024-04-25 09:13:20;Não informado
52;5;1970-01-01 00:00:00.000000052;SZ7IWDL14W;Campanha Quaerat CIDU;Officia consequatur soluta dignissimos temporibus perferendis in ex similique eius.;migration;2;1970-01-01 00:00:00.000000004;False;Não informado;Não informado;2024-12-02 21:27:18;Não informado
53;43;1970-01-01 00:00:00.000000053;Y7ERYYTEAG;Campanha Illo 3APT;Reprehenderit eius delectus aut corporis sit expedita excepturi voluptates ad excepturi eius.;consumption;1;1970-01-01 00:00:00.000000001;False;Não informado;Não informado;2024-08-19 22:16:48;Não informado
54;5;1970-01-01 00:00:00.000000054;8Y5SIC4S8P;Campanha Quis NNE6;Recusandae nam aperiam voluptas consequuntur a cupiditate illum nostrum consectetur facere quibusdam.;loyalty;1;1970-01-01 00:00:00.000000003;False;;Não informado;2025-04-20 15:43:49;Não informado
55;44;1970-01-01 00:00:00.000000055;KH0UHK7X3B;Campanha Maiores QWRM;Não informado;winback;2;1970-01-01 00:00:00.000000003;False;;Não informado;2025-01-08 23:08:22;Não informado
56;5;1970-01-01 00:00:00.000000056;DM0OAPHT6O;Campanha Cumque 6A1J;Laudantium magni natus non dolore enim adipisci.;Não informado;2;1970-01-01 00:00:00.000000003;True;;Não informado;2024-11-03 15:25:41;Não informado
57;45;1970-01-01 00:00:00.000000057;PG3DP4FMPM;Campanha Iusto 5HGB;Rerum nihil natus laboriosam animi eligendi.;Não informado;2;1970-01-01 00:00:00.000000003;False;;Não informado;2024-11-09 00:08:11;Não informado
58;46;1970-01-01 00:00:00.000000058;X889ERRYE1;Campanha Aliquid 2O00;Maiores illum fuga eum voluptates adipisci sunt doloribus magnam ducimus similique at.;Não informado;1;1970-01-01 00:00:00.000000001;False;Não informado;Não informado;2024-04-15 01:11:34;Não informado
59;47;1970-01-01 00:00:00.000000059;EMAYB3PVAR;Campanha Nam KCPW;Não informado;seasonal;1;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-03-03 16:06:33;Não informado
60;48;1970-01-01 00:00:00.000000060;59I3HZ3ZSG;Campanha Non 9VWI;Optio vitae quasi dicta at quas.;loyalty;2;1970-01-01 00:00:00.000000001;False;Não informado;Não informado;2024-06-26 23:00:08;Não informado
61;49;1970-01-01 00:00:00.000000061;7PWDBOLWIM;Campanha Sint RSXK;Atque quaerat illo cumque eos reprehenderit consequatur harum sunt recusandae omnis cum.;consumption;2;1970-01-01 00:00:00.000000003;True;Não informado;Não informado;2024-08-03 03:10:26;Não informado
62;50;1970-01-01 00:00:00.000000062;I6GAXLKKVP;Campanha Deserunt JRME;Nulla nemo enim a itaque hic ad.;seasonal;1;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-12-27 02:23:03;Não informado
63;5;1970-01-01 00:00:00.000000063;0N2TNXHN5E;Campanha Aperiam 0EV6;Blanditiis sequi rerum quisquam quos ea harum cum totam.;seasonal;1;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-11-19 09:42:56;Não informado
64;51;1970-01-01 00:00:00.000000064;7CTM09HZBG;Campanha Mollitia TJ54;Accusantium soluta dolorum repellendus culpa totam iure consequuntur consequatur sit dolores voluptatem atque.;winback;2;1970-01-01 00:00:00.000000003;False;;Não informado;2025-05-27 10:30:22;Não informado
65;52;1970-01-01 00:00:00.000000065;6CP7SAVZEB;Campanha Occaecati U2Y0;Perspiciatis repellat officiis porro sequi molestiae dignissimos deserunt officia sed repellendus dolor omnis.;Não informado;2;1970-01-01 00:00:00.000000001;True;;Não informado;2024-09-01 22:45:21;Não informado
66;53;1970-01-01 00:00:00.000000066;1N2OJGFHZ5;Campanha Totam 2QZS;Aperiam consectetur perferendis fuga labore at similique vel aut labore doloribus ut accusamus.;consumption;1;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2024-10-26 01:20:24;Não informado
67;54;1970-01-01 00:00:00.000000067;TGBIBF57J2;Campanha Officia XI3T;Adipisci quisquam quia sint amet occaecati nam.;migration;2;1970-01-01 00:00:00.000000003;False;;Não informado;2025-02-26 20:00:39;Não informado
68;55;1970-01-01 00:00:00.000000068;85JE6K9WAM;Campanha Dolorem 0KJA;Iste praesentium culpa odio officiis possimus perspiciatis incidunt corrupti rerum magni ipsa.;seasonal;1;1970-01-01 00:00:00.000000004;True;Não informado;Não informado;2024-06-27 19:44:04;Não informado
69;5;1970-01-01 00:00:00.000000069;5WT3HJU31F;Campanha Enim I0N6;Não informado;migration;2;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2025-01-30 16:41:12;Não informado
70;5;1970-01-01 00:00:00.000000070;3GU7GKL53Y;Campanha Ex GFPQ;Porro repellat sed libero perspiciatis id aspernatur eveniet sit illo repellendus dolore quia.;seasonal;2;1970-01-01 00:00:00.000000001;False;;Não informado;2024-10-10 04:25:29;Não informado
71;5;1970-01-01 00:00:00.000000071;E1ADNDA37E;Campanha A 1J7V;Não informado;migration;1;1970-01-01 00:00:00.000000003;True;Não informado;Não informado;2025-07-15 01:37:42;Não informado
72;5;1970-01-01 00:00:00.000000072;HRUPFLFCYW;Campanha Eveniet E3DK;Nesciunt harum enim voluptatibus aliquam officiis adipisci similique vero placeat quisquam ipsum consectetur.;winback;2;1970-01-01 00:00:00.000000002;False;;Não informado;2024-11-24 12:33:51;Não informado
73;5;1970-01-01 00:00:00.000000073;APFXI5N53E;Campanha Reiciendis GDD8;Rerum deserunt quidem neque placeat dolor corporis reprehenderit officia.;consumption;1;1970-01-01 00:00:00.000000003;False;;Não informado;2024-05-05 05:52:49;Não informado
74;56;1970-01-01 00:00:00.000000074;776VGTVYFY;Campanha Commodi K3MD;Rerum modi architecto nemo in repudiandae.;Não informado;2;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2024-08-28 17:42:34;Não informado
75;57;1970-01-01 00:00:00.000000075;2592FFQ293;Campanha Ducimus EP0F;Alias unde distinctio deserunt facere similique fugit iure a necessitatibus nobis delectus ut.;consumption;1;1970-01-01 00:00:00.000000002;True;Não informado;Não informado;2024-11-22 00:27:26;Não informado
76;58;1970-01-01 00:00:00.000000076;MRR9VWE77N;Campanha Quaerat TTRT;Distinctio dolor explicabo autem dolor quasi inventore sunt sapiente quibusdam.;loyalty;2;1970-01-01 00:00:00.000000001;False;;Não informado;2025-05-20 20:32:49;Não informado
77;59;1970-01-01 00:00:00.000000077;S13HDNH4NR;Campanha Optio ED6M;Illum inventore necessitatibus totam ducimus laborum quia nemo.;loyalty;2;1970-01-01 00:00:00.000000004;False;Não informado;Não informado;2025-03-27 09:34:29;Não informado
78;60;1970-01-01 00:00:00.000000078;86I3CE8ZNA;Campanha Facere 8NZX;Não informado;migration;2;1970-01-01 00:00:00.000000002;False;;Não informado;2024-12-14 18:04:58;Não informado
79;61;1970-01-01 00:00:00.000000079;NCCU3FG00Z;Campanha Sunt KOM2;Eligendi cum eligendi cupiditate consectetur iusto quisquam ad beatae autem rem porro quos.;seasonal;1;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2024-04-07 11:57:00;Não informado
80;62;1970-01-01 00:00:00.000000080;CXVGFOP8QZ;Campanha Praesentium JULI;Deserunt tempore magni minus voluptate non nam officiis neque commodi vitae nisi nulla.;loyalty;2;1970-01-01 00:00:00.000000001;False;Não informado;Não informado;2024-05-12 23:40:44;Não informado
81;5;1970-01-01 00:00:00.000000081;9EHWHG0U43;Campanha Nisi QLX3;Debitis odio eveniet alias culpa magnam officiis rerum.;loyalty;1;1970-01-01 00:00:00.000000003;False;;Não informado;2025-02-10 07:20:26;Não informado
82;5;1970-01-01 00:00:00.000000082;HDCV4BKTCV;Campanha Quas 1LTW;Não informado;migration;1;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2025-04-23 21:47:14;Não informado
83;63;1970-01-01 00:00:00.000000083;UU2BL7AMKO;Campanha Voluptate H109;Não informado;seasonal;1;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2024-11-30 19:13:22;Não informado
84;64;1970-01-01 00:00:00.000000084;D3FVNV4KFQ;Campanha Quasi 5DZ5;Animi quidem vel pariatur unde aliquam.;seasonal;1;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2025-03-01 22:47:04;Não informado
85;65;1970-01-01 00:00:00.000000085;9VS1QEKW7B;Campanha Mollitia ZYI9;Não informado;winback;1;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2025-04-14 14:02:06;Não informado
86;66;1970-01-01 00:00:00.000000086;DA1L526RQG;Campanha Commodi KCUM;Est id magnam consequatur tenetur odit vitae dignissimos.;migration;1;1970-01-01 00:00:00.000000004;False;Não informado;Não informado;2025-04-29 22:29:51;Não informado
87;67;1970-01-01 00:00:00.000000087;91P778RNKO;Campanha Inventore WYPS;Odio fugit exercitationem libero earum impedit cum voluptatem accusamus aliquam est.;winback;2;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2024-12-18 22:48:42;Não informado
88;68;1970-01-01 00:00:00.000000088;SJ5YWX0I3A;Campanha Est 4KFO;Não informado;migration;1;1970-01-01 00:00:00.000000004;False;Não informado;Não informado;2024-09-11 04:47:12;Não informado
89;69;1970-01-01 00:00:00.000000089;MQT3DGD8OP;Campanha Ducimus OCMV;Modi omnis voluptate temporibus ipsum quae doloribus laborum placeat dolorum odit.;loyalty;2;1970-01-01 00:00:00.000000001;False;;Não informado;2024-08-25 07:20:49;Não informado
90;5;1970-01-01 00:00:00.000000090;BFQXLBVN7N;Campanha Officiis PRB5;Nam perspiciatis dolore deserunt dolore aliquid qui quia tenetur fuga.;seasonal;2;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2024-12-16 21:14:32;Não informado
91;70;1970-01-01 00:00:00.000000091;DCOKZ5SYJ3;Campanha Ipsum D6M1;Quisquam eos recusandae molestias et veritatis quam eius officia enim.;loyalty;1;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2024-07-17 16:04:23;Não informado
92;71;1970-01-01 00:00:00.000000092;RYFZMYOA2V;Campanha Unde CYWL;Não informado;seasonal;2;1970-01-01 00:00:00.000000001;False;Não informado;Não informado;2025-02-23 12:54:13;Não informado
93;5;1970-01-01 00:00:00.000000093;7RL2YJ0974;Campanha Voluptate WXUB;Sapiente dignissimos voluptatibus error in nemo tempora quo sunt eos molestias ratione consequuntur.;seasonal;1;1970-01-01 00:00:00.000000004;False;;Não informado;2024-10-30 05:25:07;Não informado
94;72;1970-01-01 00:00:00.000000094;1VHHGY8NNK;Campanha Eius L3ER;Perspiciatis consequuntur consectetur voluptate ipsum provident non commodi ullam excepturi pariatur voluptate.;Não informado;2;1970-01-01 00:00:00.000000004;False;;Não informado;2025-07-14 05:56:47;Não informado
95;73;1970-01-01 00:00:00.000000095;3P9M7QNTFP;Campanha Recusandae KXYW;Mollitia quo accusamus numquam animi necessitatibus ratione voluptatum quis illo.;seasonal;1;1970-01-01 00:00:00.000000001;True;Não informado;Não informado;2024-11-23 08:57:01;Não informado
96;74;1970-01-01 00:00:00.000000096;XWOR17DPUB;Campanha Ipsam KPIQ;Não informado;Não informado;1;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-04-06 02:11:49;Não informado
97;75;1970-01-01 00:00:00.000000097;M2Q6X2O72S;Campanha Accusamus JXL6;Aut corporis dolore dolor illum debitis fugit nesciunt excepturi omnis nihil perspiciatis.;Não informado;1;1970-01-01 00:00:00.000000001;False;;Não informado;2024-09-13 03:20:51;Não informado
98;76;1970-01-01 00:00:00.000000098;AFN33VM89I;Campanha Corrupti 9GX3;Esse consequatur atque id ipsam corrupti.;winback;2;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-07-06 18:32:48;Não informado
99;77;1970-01-01 00:00:00.000000099;9G6SPD2SW2;Campanha Illo 4WJT;Ducimus expedita voluptatem expedita perferendis iusto voluptatibus.;consumption;1;1970-01-01 00:00:00.000000001;False;Não informado;Não informado;2025-04-01 21:05:50;Não informado
100;78;1970-01-01 00:00:00.000000100;PWVBZ7CN0E;Campanha Explicabo QWMI;Totam maiores non et pariatur sapiente pariatur dolores sunt recusandae magnam doloremque accusantium.;loyalty;2;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-02-29 23:53:42;Não informado
101;5;1970-01-01 00:00:00.000000101;03NJBCFA95;Campanha Ipsum D7EF;Voluptates omnis ad excepturi quos debitis nesciunt assumenda quas itaque harum distinctio ullam.;consumption;1;1970-01-01 00:00:00.000000001;False;;Não informado;2024-12-09 17:02:55;Não informado
102;79;1970-01-01 00:00:00.000000102;46HD2ORWHP;Campanha Tempore 6WQF;Não informado;consumption;1;1970-01-01 00:00:00.000000002;False;;Não informado;2024-10-20 19:50:44;Não informado
103;80;1970-01-01 00:00:00.000000103;W4EMM9VASJ;Campanha Sed EVTS;Est quae id eaque adipisci ipsa corrupti animi perspiciatis.;loyalty;1;1970-01-01 00:00:00.000000003;True;Não informado;Não informado;2025-07-10 23:08:06;Não informado
104;81;1970-01-01 00:00:00.000000104;BEDYEJHDZX;Campanha Autem Q3P8;Commodi tempora sit totam culpa nisi.;loyalty;2;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-06-15 08:30:16;Não informado
105;82;1970-01-01 00:00:00.000000105;8D2VFHZPQV;Campanha Reiciendis JLDN;Rem animi laboriosam occaecati consectetur voluptas.;loyalty;2;1970-01-01 00:00:00.000000003;False;Não informado;Não informado;2024-08-18 14:56:26;Não informado
106;83;1970-01-01 00:00:00.000000106;Q68JOV58TO;Campanha Dolores E3PG;Omnis neque repellat impedit ut placeat alias cum delectus.;loyalty;1;1970-01-01 00:00:00.000000002;False;Não informado;Não informado;2024-10-15 11:46:32;Não informado
107;84;1970-01-01 00:00:00.000000107;N2ELALQ26U;Campanha Ex NVSD;Sunt esse reiciendis doloremque dolores error numquam ipsa voluptatum perspiciatis.;consumption;1;1970-01-01 00:00:00.000000004;False;Não informado;Não informado;2025-03-31 21:51:33;Não informado
108;5;1970-01-01 00:00:00.000000108;LLH2R9PEGL;Campanha Illo NUKX;Impedit voluptatum omnis ab veritatis omnis voluptate culpa doloremque distinctio.;winback;1;1970-01-01 00:00:00.000000004;False;;Não informado;2025-05-12 16:31:44;Não informado
109;5;1970-01-01 00:00:00.000000109;4O67BXCD20;Campanha Ipsa J1OU;Não informado;consumption;2;1970-01-01 00:00:00.000000001;False;;Não informado;2024-07-07 05:04:48;Não informado
110;85;1970-01-01 00:00:00.000000110;ZQ48ENWBBA;Campanha Sed DLYP;Repellat esse quidem voluptates dolore adipisci minus repellendus rem ducimus.;loyalty;1;1970-01-01 00:00:00.000000002;True;;Não informado;2024-11-11 12:40:35;Não informado
111;86;1970-01-01 00:00:00.000000111;3TAYB5BBKJ;Campanha Atque Y2NZ;Iste unde dolorum nostrum quas sed aliquid.;loyalty;2;1970-01-01 00:00:00.000000001;False;Não informado;Não informado;2025-04-24 23:46:24;Não informado
112;87;1970-01-01 00:00:00.000000112;5158OQESUX;Campanha Perspiciatis 9L0I;Asperiores temporibus minima error totam molestias modi eaque maiores provident temporibus magnam ipsam.;consumption;2;1970-01-01 00:00:00.000000001;False;Não informado;Não informado;2024-08-10 19:41:40;Não informado
